Id,Label
#stopacting,#stopacting
#JusticForNoor,#JusticForNoor
#germany,#germany
#IHC,#IHC
#NoorBukhari,#NoorBukhari
#AimanKhan,#AimanKhan
#FilthyRichScums,#FilthyRichScums
#Zardari,#Zardari
#Shahrukhjatoi,#Shahrukhjatoi
#theCivileyes,#theCivileyes
#hangthekillers,#hangthekillers
#BeastUpdate,#BeastUpdate
#sqihla,#sqihla
#JusticeForNooorMukadam,#JusticeForNooorMukadam
#psycho,#psycho
#performance,#performance
#pedophelia,#pedophelia
#imrankhanpti,#imrankhanpti
#JusticeForMiriam,#JusticeForMiriam
#JusticeForNikita,#JusticeForNikita
#MariamDeservesBetter,#MariamDeservesBetter
#حق_مريم_لن_يضيع,#حق_مريم_لن_يضيع
#NewProfilePic,#NewProfilePic
#NoorMukadammurder,#NoorMukadammurder
#Jaildoctors,#Jaildoctors
#law,#law
#sc,#sc
#justicedelayedisjusticedenied,#justicedelayedisjusticedenied
#ihc,#ihc
#SupremeCourt,#SupremeCourt
#judiciary,#judiciary
#disability,#disability
#compulsion,#compulsion
#reflection,#reflection
#brutal,#brutal
#SialkotIncident,#SialkotIncident
#women,#women
#DTD,#DTD
#DonaldTrump,#DonaldTrump
#پنجاب_پولیس_کو_لگام_دو,#پنجاب_پولیس_کو_لگام_دو
#AbidAli,#AbidAli
#Judicial,#Judicial
#rapecase,#rapecase
#hamidmir,#hamidmir
#MotowayIncident,#MotowayIncident
#UmerShaikh,#UmerShaikh
#غدار_اور_نمک_حرام_نوازشریف,#غدار_اور_نمک_حرام_نوازشریف
#fridaymorning,#fridaymorning
#JusticeForAdeel,#JusticeForAdeel
#UsmanBuzdar,#UsmanBuzdar
#AdeelShah,#AdeelShah
#PeshawarMotorway,#PeshawarMotorway
#MeraJismMeriMarzi,#MeraJismMeriMarzi
#جمعة_مباركة,#جمعة_مباركة
#يوم_الجمعة,#يوم_الجمعة
#SackShireenMazari,#SackShireenMazari
#PunjabPoliceOfficialPakistan,#PunjabPoliceOfficialPakistan
#motorwaypolice,#motorwaypolice
#pindibhattian,#pindibhattian
#asifalizardari,#asifalizardari
#motorbike,#motorbike
#pmln,#pmln
#bestactors,#bestactors
#DialoguePakistan,#DialoguePakistan
#Saitama,#Saitama
#sharmilafarooqi,#sharmilafarooqi
#BIKER,#BIKER
#دراجات,#دراجات
#دراجتي_الرياض,#دراجتي_الرياض
#دباب,#دباب
#LIVE,#LIVE
#MotorcycleLife,#MotorcycleLife
#Motorola,#Motorola
#MotoGP,#MotoGP
#truecrime,#truecrime
#CrimeScene,#CrimeScene
#Nawazsharif,#Nawazsharif
#AmongUs,#AmongUs
#PeterKennethTruths,#PeterKennethTruths
#socialmediamarketing,#socialmediamarketing
#SocialMediaRulesNeeded,#SocialMediaRulesNeeded
#socialdilemma,#socialdilemma
#GovtofPakistan,#GovtofPakistan
#robbery,#robbery
#MurreeTragedy,#MurreeTragedy
#justicefoefatima,#justicefoefatima
#ccpo,#ccpo
#WarAgainstRape,#WarAgainstRape
#hangtilldeath,#hangtilldeath
#HangRapist,#HangRapist
#Todaytheyrapedwomen,#Todaytheyrapedwomen
#WarAgainstrape,#WarAgainstrape
#justiceForNoor,#justiceForNoor
#Hang_RapistsInPublic,#Hang_RapistsInPublic
#DontBlamePakistan,#DontBlamePakistan
#JusticeForAyesha,#JusticeForAyesha
#dakaiti,#dakaiti
#usmanmirza,#usmanmirza
#جنسی_درندےکوسرعام_پھانسی_دو,#جنسی_درندےکوسرعام_پھانسی_دو
#LollipopGovt,#LollipopGovt
#yesallmen,#yesallmen
#MinarePakistan,#MinarePakistan
#femicide,#femicide
#BehindYouSkipper,#BehindYouSkipper
#MyPMImranKhan,#MyPMImranKhan
#IstandWithWaqarzaka,#IstandWithWaqarzaka
#rapeculture,#rapeculture
#JusticeForWomen,#JusticeForWomen
#usmanmirzascandal,#usmanmirzascandal
#nayabnadeem,#nayabnadeem
#M2,#M2
#FixitPakistan,#FixitPakistan
#TrueSpiritOfIslam,#TrueSpiritOfIslam
#WalkTowardsHussain,#WalkTowardsHussain
#PinkRibbon,#PinkRibbon
#ShahAbdulLatifBhittai,#ShahAbdulLatifBhittai
#BALvKP,#BALvKP
#POCOX3,#POCOX3
#bachakhaniconofpeace,#bachakhaniconofpeace
#BachaKhanIconOfNonViolence,#BachaKhanIconOfNonViolence
#FridaysWithArmaan,#FridaysWithArmaan
#UAEWhereIsRashidHussain,#UAEWhereIsRashidHussain
#KPDomesticViolenceACT2021,#KPDomesticViolenceACT2021
#Darinda,#Darinda
#darinda,#darinda
#JusticeForNazimJokhio,#JusticeForNazimJokhio
#HangshahzainJataoi,#HangshahzainJataoi
#qandeelbaloch,#qandeelbaloch
#We_reject_domestic_violence_bill_2021,#We_reject_domestic_violence_bill_2021
#GeoNews,#GeoNews
