full_text,username,screen_name,location,is_verified,quote_count,favorite_count,retweet_count,reply_count,created_at,tweet_id
"Guest Co Host: Kym
#StopTheHate #StopTheKillings #LGBTQ #truecrime #houseofxtravaganza #houseofdupree #ColdCase #AllBlackLivesMatter #TransLivesMatter #podcast #socialjustice #abc7ny #ATL #NOLA #NYC #AJC #ChynaGibson #LorenaXtravaganza
#TraceyThompson 
https://t.co/W9nBhiUeEa",Mike Brooklyn,MikeBrooklyn,,False,0,0,1,0,Wed Dec 30 05:30:35 +0000 2020,1.34415e+18
"RT @rudy_size: Please read &amp; share this amazing story of struggle &amp; strength.

#mustread #podcast #LGBTQ #TransRightsAreHumanRights #LGBTQIAontwitter #TransAgenda #transgirl #transwoman #transgender #trans #TransIsBeautiful #TransLivesMatter #genderfluid 

https://t.co/DtGOFDjzXd",Love is Love,rudy_size,,False,0,0,0,0,Wed Dec 30 05:02:29 +0000 2020,1.34415e+18
"RT @MikeBrooklyn: New Episode!
Guest Co Host: Chris from Men Like Us Podcast
#relationships #petpeeves #toowongfoo #mjrodriguez #PoseFX #saturdaychurch #transamorous #TransRightsAreHumanRights #TransLivesMatter #podcast #PodernFamily 
https://t.co/XPAT5ycTC0",Mike Brooklyn,MikeBrooklyn,,False,0,0,0,0,Wed Dec 30 04:11:12 +0000 2020,1.34413e+18
"RT @MikeBrooklyn: Guest Co Host: Amber M.
#PoseFX #MjRodriguez #IndyaMoore #DomoniqueJackson #AngelicaRoss #HailieSahar #AlexiaGarcia #BillyPorter #RyanJamalSwain #DyllonBurnside #AngelCuriel #ChristopherMeloni #Vogue #TransLivesMatter #LGBTQ #podcast
#HouseofEvangelista
https://t.co/9IP1tZg5sk",Mike Brooklyn,MikeBrooklyn,,False,0,0,0,0,Wed Dec 30 04:10:44 +0000 2020,1.34413e+18
"RT @MikeBrooklyn: Guest Co Host: Kym
#StopTheHate #StopTheKillings #LGBTQ #truecrime #houseofxtravaganza #houseofdupree #ColdCase #AllBlackLivesMatter #TransLivesMatter #podcast #socialjustice #nbc4ny #ATL #NOLA #NYC #AJC #ChynaGibson #LorenaXtravaganza
#TraceyThompson 
https://t.co/W9nBhiUeEa",Mike Brooklyn,MikeBrooklyn,,False,0,0,0,0,Wed Dec 30 04:10:41 +0000 2020,1.34413e+18
“Don’t ask 'Are you sure?' or 'How do you know?' Trust that they’ve done the necessary interior work to arrive at this point.” #sextherapyhawaii #honolulu #hawaii #translivesmatter #lgbtq #pride #loveeachother #latinxsextherapy #latinxsextherapist https://t.co/0rwRINCJNc,Dr. Janet Brito,drjanetbrito,"Honolulu, HI",False,0,0,0,0,Wed Dec 30 04:00:28 +0000 2020,1.34413e+18
"RT @GlobalYouthLGBT: The World Mourns Courtney “Eshay” Key, a Black Trans Woman Killed in Chicago, Illinois, USA. 

#TransLivesMatter #LGBTQIA2020 @GlobalYouthLGBT #TransRightsAreHumanRights #Lgbtqia 
https://t.co/jXAdEirdsz via @HRC",SONC Global Messenger Samuel Cary McAllister,SamuelMcAllis17,United States,False,0,0,0,0,Wed Dec 30 03:56:05 +0000 2020,1.34413e+18
"RT @GlobalYouthLGBT: The World Mourns Courtney “Eshay” Key, a Black Trans Woman Killed in Chicago, Illinois, USA. 

#TransLivesMatter #LGBTQIA2020 @GlobalYouthLGBT #TransRightsAreHumanRights #Lgbtqia 
https://t.co/jXAdEirdsz via @HRC",Denise Dechene🌅🐝🛫,shyredmd,"Delaware, USA",False,0,0,0,0,Wed Dec 30 03:51:29 +0000 2020,1.34413e+18
"RT @GlobalYouthLGBT: The World Mourns Courtney “Eshay” Key, a Black Trans Woman Killed in Chicago, Illinois, USA. 

#TransLivesMatter #LGBTQIA2020 @GlobalYouthLGBT #TransRightsAreHumanRights #Lgbtqia 
https://t.co/jXAdEirdsz via @HRC",~Journey🍀🌿🍄🌾🌽🥝🥦🥬🍒🥑🍓🍏🍌🍉🌶🍇🍋🍍🌱,SouLJOo0oOurney,Asheville,False,0,0,0,0,Wed Dec 30 03:44:26 +0000 2020,1.34413e+18
RT @princessjanaepl: Princess Janae Place Inc need your help to support a community member learn more by clicking the link https://t.co/cPPpELUts2 #HousingIsHealthcare #HolidaySeason #TransLivesMatter,Tanya Asapansa- Johnson Walker,Tanyaasapansa63,"Manhattan, NY",False,0,0,0,0,Wed Dec 30 03:40:16 +0000 2020,1.34413e+18
Happy 22nd bday to social media star and recording artist Itsbambii! @itsbambii #Itsbambii #itsbambiiplayhouse #youtubestar #blackyoutubers #beautiful #translivesmatter #lgbt #ifyouarenotslayingthenwhatareyousaying https://t.co/nbyf7R5kVn,This is why I Rock!,ItsKingsWorld,South Carolina,False,0,0,0,0,Wed Dec 30 03:25:22 +0000 2020,1.34412e+18
"RT @alyxiastarling: I know this probably will not receive any attention, but I am asking anyways because I am desperate for your help. Anything you can do is appreciated even if its just sharing my story. #LGBTQ #TransLivesMatter https://t.co/TxCuilVS9b",Stopthchatter,Stopthchatter1,the unique driftless area,False,0,0,0,0,Wed Dec 30 03:12:57 +0000 2020,1.34412e+18
"RT @alyxiastarling: I know this probably will not receive any attention, but I am asking anyways because I am desperate for your help. Anything you can do is appreciated even if its just sharing my story. #LGBTQ #TransLivesMatter https://t.co/TxCuilVS9b",Mary MAC,GGCalwel,Kansas City,False,0,0,0,0,Wed Dec 30 03:03:20 +0000 2020,1.34412e+18
"RT @PurpleTinabeans: My lovely friend Odhrán really deserves the support to get on testosterone in 2021 &lt;3 Like many countries, waiting lists are shocking here in #NI. 

#gofundme #gofundmedonations #gofundmeplease #TransRightsAreHumanRights #trans #transmen #transmale #translives #TransLivesMatter https://t.co/iRxQvDF8iM",Chris Thompson,CGMThompson,"Cabarlah, QLD Australia",False,0,0,0,0,Wed Dec 30 02:50:54 +0000 2020,1.34411e+18
I made a new post on #Patreon as the #Triadin tales move forward. “Time to let go of fear ... even pain ...” #TheSwallow #Rogar #Ashyu🎨. #representation #translivesmatter #love #family #fantasy #LGBTQIA #ric4art #Japan #Shikoku #Kagawa #日本 #四国 #香川 https://t.co/83DG1FNGwN,Ric4art,innerpeace1979,"Lisbon, Portugal",False,0,0,0,0,Wed Dec 30 01:33:46 +0000 2020,1.34409e+18
"@Phenomenalt_ #SAVEMAYA #TransLivesMatter 
I'm Maya and this is my Story ..
Please help me by share and donate :

https://t.co/dioFUknuuB",Maya,Maya24052097,,False,0,0,0,0,Wed Dec 30 01:17:55 +0000 2020,1.34409e+18
"RT @TheLastSeahorse: To celebrate 120 days of consecutive streaming Seahorse wants to raise $1200 for @TransLifeline. 

Seahorse will be completing 120 runs of the Winter's Day Jumping Puzzle in #GuildWars2 starting @ 1PM Pacific on 1/2/21

https://t.co/ygwzRLJ0xA
#Vtuber #TransLivesMatter #charity",Chris Thompson,CGMThompson,"Cabarlah, QLD Australia",False,0,0,0,0,Wed Dec 30 00:48:22 +0000 2020,1.34408e+18
